number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
95	Cluster_113	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
96	Cluster_114	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	undefined	N.R	N.R	N.R	
97	Cluster_112	Eukaryota	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
98	Cluster_119	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	N.R	N.R	N.R	
99	Cluster_134	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
100	Cluster_117	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Boletales	Boletinellaceae	Saprotroph	Saprotroph	Boletoid	
101	Cluster_121	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
102	Cluster_124	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
103	Cluster_156	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Pathotroph-Saprotroph-Symbiotroph	Plant Pathogen	Microfungus	
104	Cluster_129	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Pathotroph	Pathotroph-Saprotroph		
105	Cluster_135	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	
106	Cluster_430	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
107	Cluster_139	Eukaryota	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	N.R	N.R	N.R	
108	Cluster_138	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
109	Cluster_168	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	N.R	N.R	N.R	
110	Cluster_140	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Corticiales	Corticiaceae	Pathotroph-Saprotroph	Plant Pathogen	Corticioid-Microfungus	
111	Cluster_144	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
112	Cluster_159	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
113	Cluster_142	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
114	Cluster_166	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
115	Cluster_143	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
116	Cluster_149	Eukaryota	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
117	Cluster_193	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Entolomataceae	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal	Agaricoid	
118	Cluster_152	Eukaryota	Fungi	Ascomycota	Taphrinomycotina	Neolectomycetes	Neolectales	Neolectaceae	N.R	N.R	N.R	
119	Cluster_153	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pezizaceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Pezizoid	
120	Cluster_160	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
121	Cluster_155	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	N.R	N.R	N.R	
122	Cluster_157	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Atheliales	Atheliaceae	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal	Corticioid	
123	Cluster_158	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
124	Cluster_169	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
125	Cluster_154	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	N.R	N.R	N.R	
126	Cluster_206	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
127	Cluster_170	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
128	Cluster_161	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
129	Cluster_203	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
130	Cluster_165	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Pathotroph-Saprotroph	Plant Pathogen	Microfungus	
131	Cluster_167	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
132	Cluster_263	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Laboulbeniomycetes	Pyxidiophorales	Pyxidiophoraceae	N.R	N.R	N.R	
133	Cluster_221	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Leucosporidiales	undefined	N.R	N.R	N.R	
