sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s507	14000	231	O-18-1P01-6_S108_L001	18	17	O	18O	october	2018	1P01	p2	1P01p2	1	1p2	6	patch	Trifolium
s508	7641	39	O-18-1P01-7_S110_L001	18	17	O	18O	october	2018	1P01	mb	1P01mb	1	1mb	7	mb	Brachypodium
s509	4823	7	O-18-1P01-8_S112_L001	18	17	O	18O	october	2018	1P01	mb	1P01mb	1	1mb	8	mb	Brachypodium
s510	21391	439	O-18-1P01-9_S113_L001	18	17	O	18O	october	2018	1P01	cor	1P01cor	1	1cor	9	cor	Trifolium
s511	8652	64	O-18-1P01-10_S115_L001	18	17	O	18O	october	2018	1P01	cor	1P01cor	1	1cor	10	cor	Trifolium
s512	17315	332	O-18-1P02-1_S278_L001	18	17	O	18O	october	2018	1P02	p1	1P02p1	1	1p1	1	patch	Trifolium
s513	14487	248	O-18-1P02-2_S280_L001	18	17	O	18O	october	2018	1P02	p1	1P02p1	1	1p1	2	patch	Trifolium
s514	17075	325	O-18-1P02-3_S282_L001	18	17	O	18O	october	2018	1P02	p1	1P02p1	1	1p1	3	patch	Trifolium
s515	13938	228	O-18-1P02-4_S284_L001	18	17	O	18O	october	2018	1P02	p2	1P02p2	1	1p2	4	patch	Trifolium
s516	17008	322	O-18-1P02-5_S286_L001	18	17	O	18O	october	2018	1P02	p2	1P02p2	1	1p2	5	patch	Trifolium
s517	12846	185	O-18-1P02-7_S1_L001	18	17	O	18O	october	2018	1P02	mb	1P02mb	1	1mb	7	mb	Brachypodium
s518	23364	469	O-18-1P02-8_S3_L001	18	17	O	18O	october	2018	1P02	mb	1P02mb	1	1mb	8	mb	Brachypodium
s519	23539	472	O-18-1P02-9_S5_L001	18	17	O	18O	october	2018	1P02	cor	1P02cor	1	1cor	9	cor	Trifolium
s520	20848	417	O-18-1P02-10_S7_L001	18	17	O	18O	october	2018	1P02	cor	1P02cor	1	1cor	10	cor	Trifolium
s521	24117	481	O-18-1P03-1_S9_L001	18	17	O	18O	october	2018	1P03	p1	1P03p1	1	1p1	1	patch	Trifolium
s522	18787	377	O-18-1P03-2_S11_L001	18	17	O	18O	october	2018	1P03	p1	1P03p1	1	1p1	2	patch	Trifolium
s523	16257	302	O-18-1P03-3_S13_L001	18	17	O	18O	october	2018	1P03	p1	1P03p1	1	1p1	3	patch	Trifolium
s524	19750	394	O-18-1P03-4_S15_L001	18	17	O	18O	october	2018	1P03	p2	1P03p2	1	1p2	4	patch	Trifolium
s525	15316	277	O-18-1P03-5_S2_L001	18	17	O	18O	october	2018	1P03	p2	1P03p2	1	1p2	5	patch	Trifolium
s526	17320	333	O-18-1P03-6_S4_L001	18	17	O	18O	october	2018	1P03	p2	1P03p2	1	1p2	6	patch	Trifolium
s527	13320	200	O-18-1P03-7_S6_L001	18	17	O	18O	october	2018	1P03	mb	1P03mb	1	1mb	7	mb	Brachypodium
s528	16468	308	O-18-1P03-8_S8_L001	18	17	O	18O	october	2018	1P03	mb	1P03mb	1	1mb	8	mb	Brachypodium
s529	21849	448	O-18-1P03-9_S10_L001	18	17	O	18O	october	2018	1P03	cor	1P03cor	1	1cor	9	cor	Trifolium
s530	31470	624	O-18-1P03-10_S12_L001	18	17	O	18O	october	2018	1P03	cor	1P03cor	1	1cor	10	cor	Trifolium
s531	33755	660	O-18-1P04-1_S14_L001	18	17	O	18O	october	2018	1P04	p1	1P04p1	1	1p1	1	patch	Trifolium
s532	12695	178	O-18-1P04-2_S16_L001	18	17	O	18O	october	2018	1P04	p1	1P04p1	1	1p1	2	patch	Trifolium
s533	16539	311	O-18-1P04-3_S17_L001	18	17	O	18O	october	2018	1P04	p1	1P04p1	1	1p1	3	patch	Trifolium
s534	26527	528	O-18-1P04-4_S19_L001	18	17	O	18O	october	2018	1P04	p2	1P04p2	1	1p2	4	patch	Trifolium
s535	26866	538	O-18-1P04-5_S21_L001	18	17	O	18O	october	2018	1P04	p2	1P04p2	1	1p2	5	patch	Trifolium
s536	31691	632	O-18-1P04-6_S23_L001	18	17	O	18O	october	2018	1P04	p2	1P04p2	1	1p2	6	patch	Trifolium
s537	34483	667	O-18-1P04-7_S25_L001	18	17	O	18O	october	2018	1P04	mb	1P04mb	1	1mb	7	mb	Brachypodium
